sep=,
Subject,Task,ST,STlanguage,TTlanguage,MicroUnitId,LinearRep,Pause,PauseType,Start,End,DurationM,DurationT,FixCountS,FixDurationS,MeanDurationS,FixCountT,FixDurationT,MeanDurationT,FixCountST,FixDurationST,MeanDurationST,FixCountSPause,FixDurationSPause,MeanDurationSPause,FixCountTPause,FixDurationTPause,MeanDurationTPause,FixCountSTPause,FixDurationSTPause,MeanDurationSTPause,Visits,VisitsPause,Saccade,SacaddeAngle,SaccadeSum,SaccadeMean,SaccadePause,SaccadeAnglePause,SaccadeSumPause,SaccadeMeanPause,ins,del
P10_T2,translating,Osbrasileiros,pt,zh,39,,3697,null,103598,103630,32,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,40,,3697,null,103631,103816,185,0,1,200,200.0,0,0,0.0,1,200,200.0,1,200,200.0,0,0,0.0,1,200,200.0,0,null,1306.954092537301,null,1306.954092537301,12.566866274397125,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,41,,3697,null,103817,103817,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,42,,3697,null,103818,105175,1357,0,1,2915,2915.0,0,0,0.0,1,2915,2915.0,1,2915,2915.0,0,0,0.0,1,2915,2915.0,0,null,1612.2189677584122,null,1612.2189677584122,15.354466359603926,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,43,。,3697,null,105176,106733,1557,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,1,0
P10_T2,translating,Osbrasileiros,pt,zh,44,,3292,null,106734,106734,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,45,,3292,null,106735,106889,154,0,1,158,158.0,0,0,0.0,1,158,158.0,1,158,158.0,0,0,0.0,1,158,158.0,0,null,1145.3182963700528,null,1145.3182963700528,10.804889588396724,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,46,,3292,null,106890,106890,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,47,,3292,null,106891,107373,482,0,1,475,475.0,0,0,0.0,1,475,475.0,1,475,475.0,0,0,0.0,1,475,475.0,0,null,103.58088626768937,null,103.58088626768937,0.9680456660531717,null,null,null,null,0,0
P10_T2,translating,Osbrasileiros,pt,zh,48,,3292,null,107374,107374,0,0,1,0,0.0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,0.0,1,0,0.0,0,null,,null,0.0,0.0,null,null,null,null,0,0
